"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2025-06-26T14:03:06.000Z","WITHDRAW",3.69,"USD (United States dollar)","FIAT",,,,"MY_WALLET","OTHER",,,"eToro",,false,
"2025-07-03T13:32:38.000Z","SELL",0.450501,"TSLA (Tesla Inc)","STOCK",142.37633604,"USD","Nasdaq",,,,,"eToro",,false,
"2025-07-03T13:32:38.000Z","SELL",0.178248,"TSLA (Tesla Inc)","STOCK",56.33349792,"USD","Nasdaq",,,,,"eToro",,false,
"2025-07-03T13:32:38.000Z","SELL",0.03208,"TSLA (Tesla Inc)","STOCK",10.1385632,"USD","Nasdaq",,,,,"eToro",,false,
"2025-07-03T13:33:19.000Z","SELL",0.395194,"AAPL (Apple Inc)","STOCK",83.94315754,"USD","Nasdaq",,,,,"eToro",,false,
"2025-07-03T13:33:19.000Z","SELL",0.197597,"AAPL (Apple Inc)","STOCK",41.97157877,"USD","Nasdaq",,,,,"eToro",,false,
"2025-07-03T13:34:08.000Z","SELL",0.405087,"AMD (Advanced Micro Devices Inc)","STOCK",56.06809167,"USD","Nasdaq",,,,,"eToro",,false,
"2025-07-03T13:34:31.000Z","SELL",0.404989,"TTWO (Take-Two Interactive Software Inc)","STOCK",96.1038897,"USD","Nasdaq",,,,,"eToro",,false,
"2025-07-03T13:35:20.000Z","BUY",17.605633,"OSCR (Oscar Health Inc)","STOCK",299.4735778933,"USD","New York Stock Exchange",,,,,"eToro",,false,
"2025-07-03T13:36:20.000Z","BUY",3.17662,"ASTS (AST SpaceMobile Inc)","STOCK",149.9999964,"USD","Nasdaq",,,,,"eToro",,false,
"2025-07-03T13:38:50.000Z","SELL",0.45499,"MSFT (Microsoft Corp)","STOCK",224.9971049,"USD","Nasdaq",,,,,"eToro",,false,
"2025-07-03T13:38:50.000Z","SELL",0.175862,"MSFT (Microsoft Corp)","STOCK",86.96551762,"USD","Nasdaq",,,,,"eToro",,false,
"2025-07-03T14:11:45.000Z","BUY",3.950227,"NBIS (Nebius Group NV)","STOCK",199.99999301,"USD","Nasdaq",,,,,"eToro",,false,
"2025-07-03T14:16:17.000Z","DEPOSIT",137.44,"USD (United States dollar)","FIAT",,,,"OTHER","MY_WALLET",,,"eToro",,false,
"2025-07-03T14:30:05.000Z","BUY",8.334758,"OSCR (Oscar Health Inc)","STOCK",136.331636606,"USD","New York Stock Exchange",,,,,"eToro",,false,
"2025-07-03T15:40:14.000Z","WITHDRAW",137.33,"USD (United States dollar)","FIAT",,,,"MY_WALLET","OTHER",,,"eToro",,false,
"2025-08-22T06:56:18.000Z","DEPOSIT",333.56,"USD (United States dollar)","FIAT",,,,"OTHER","MY_WALLET",,,"eToro",,false,
"2025-10-03T06:41:15.000Z","DEPOSIT",0.01,"USD (United States dollar)","FIAT",,,,"OTHER","MY_WALLET",,,"eToro",,false,
"2025-10-08T13:40:12.000Z","BUY",23.378777,"EOSE (Eos Energy Enterprises Inc)","STOCK",331.9505788676,"USD","Nasdaq",,,,,"eToro",,false,
"2025-10-09T06:11:34.000Z","WITHDRAW",332.95,"USD (United States dollar)","FIAT",,,,"MY_WALLET","OTHER",,,"eToro",,false,
